date,Rondo Kocmyrzowskie:Nowa Huta:lewy,Sawickiego/Medweckiego:Podgórze:lewy,Sawickiego/Medweckiego:Podgórze:prawy,Skotnicka/Babiñskiego:Centrum:pomiar,Wielicka/Nowos±decka:Centrum:lewy,Wielicka/Nowos±decka:Centrum:prawy,Wielicka/Nowos±decka:Centrum:¶rodkowy,Wielicka/Nowos±decka:Wieliczka:lewy,Wielicka/Nowos±decka:Wieliczka:prawy,Wielicka/Nowos±decka:Wieliczka:¶rodkowy
2018-07-31 00:02,5.0,1.0,2.0,5.0,0.0,6.0,6.0,0.0,5.0,1.0
2018-07-31 00:12,6.0,1.0,1.0,4.0,0.0,7.0,4.0,0.0,7.0,1.0
2018-07-31 00:22,1.0,2.0,2.0,1.0,0.0,6.0,13.0,0.0,3.0,1.0
2018-07-31 00:32,1.0,0.0,2.0,9.0,0.0,5.0,14.0,0.0,5.0,0.0
2018-07-31 00:42,6.0,1.0,2.0,2.0,0.0,7.0,14.0,0.0,6.0,0.0
2018-07-31 00:52,1.0,1.0,2.0,2.0,0.0,3.0,15.0,0.0,5.0,0.0
2018-07-31 01:02,2.0,0.0,0.0,5.0,0.0,4.0,11.0,0.0,7.0,0.0
2018-07-31 01:12,5.0,1.0,2.0,5.0,0.0,2.0,11.0,0.0,1.0,0.0
2018-07-31 01:22,5.0,0.0,2.0,3.0,0.0,6.0,17.0,0.0,3.0,0.0
2018-07-31 01:32,5.0,0.0,1.0,3.0,0.0,6.0,12.0,0.0,3.0,1.0
2018-07-31 01:42,4.0,0.0,2.0,2.0,0.0,7.0,10.0,0.0,4.0,0.0
2018-07-31 01:52,3.0,3.0,2.0,2.0,0.0,14.0,13.0,1.0,6.0,0.0
2018-07-31 02:02,2.0,3.0,2.0,3.0,0.0,11.0,12.0,0.0,0.0,0.0
2018-07-31 02:12,3.0,1.0,4.0,1.0,0.0,12.0,12.0,0.0,5.0,0.0
2018-07-31 02:22,1.0,2.0,0.0,7.0,0.0,12.0,20.0,0.0,6.0,0.0
2018-07-31 02:32,5.0,3.0,1.0,5.0,0.0,11.0,18.0,0.0,3.0,0.0
2018-07-31 02:42,9.0,3.0,0.0,11.0,0.0,13.0,23.0,0.0,6.0,0.0
2018-07-31 02:52,4.0,10.0,0.0,16.0,0.0,13.0,23.0,0.0,6.0,1.0
2018-07-31 03:02,11.0,6.0,2.0,10.0,0.0,21.0,31.0,0.0,6.0,1.0
2018-07-31 03:12,9.0,14.0,9.0,15.0,0.0,18.0,32.0,0.0,10.0,0.0
2018-07-31 03:22,15.0,16.0,11.0,28.0,0.0,42.0,53.0,0.0,7.0,1.0
2018-07-31 03:32,26.0,27.0,11.0,39.0,0.0,45.0,58.0,5.0,13.0,5.0
2018-07-31 03:42,23.0,40.0,16.0,42.0,0.0,46.0,89.0,3.0,11.0,8.0
2018-07-31 03:52,15.0,44.0,11.0,65.0,0.0,65.0,102.0,5.0,20.0,2.0
2018-07-31 04:02,15.0,31.0,10.0,53.0,0.0,58.0,90.0,2.0,18.0,3.0
2018-07-31 04:12,14.0,30.0,14.0,60.0,0.0,24.0,67.0,4.0,13.0,4.0
2018-07-31 04:22,19.0,66.0,17.0,97.0,0.0,78.0,128.0,2.0,9.0,0.0
2018-07-31 04:32,19.0,46.0,15.0,89.0,0.0,81.0,132.0,6.0,25.0,9.0
2018-07-31 04:42,18.0,60.0,35.0,60.0,0.0,117.0,151.0,4.0,32.0,10.0
2018-07-31 04:52,39.0,72.0,34.0,95.0,0.0,94.0,125.0,9.0,24.0,10.0
2018-07-31 05:02,19.0,57.0,34.0,132.0,0.0,107.0,135.0,2.0,36.0,15.0
2018-07-31 05:12,30.0,57.0,27.0,133.0,0.0,107.0,135.0,2.0,32.0,12.0
2018-07-31 05:22,23.0,52.0,45.0,120.0,0.0,100.0,126.0,4.0,25.0,14.0
2018-07-31 05:32,38.0,53.0,41.0,132.0,0.0,100.0,129.0,7.0,37.0,19.0
2018-07-31 05:42,36.0,61.0,33.0,115.0,0.0,114.0,153.0,10.0,43.0,6.0
2018-07-31 05:52,34.0,63.0,46.0,115.0,0.0,87.0,111.0,13.0,47.0,13.0
2018-07-31 06:02,29.0,54.0,33.0,57.0,0.0,19.0,37.0,2.0,4.0,2.0
2018-07-31 06:12,23.0,56.0,35.0,137.0,0.0,99.0,131.0,7.0,40.0,13.0
2018-07-31 06:22,25.0,56.0,28.0,137.0,0.0,103.0,122.0,4.0,36.0,15.0
2018-07-31 06:32,19.0,52.0,30.0,100.0,0.0,103.0,122.0,4.0,36.0,15.0
2018-07-31 06:42,26.0,41.0,26.0,121.0,0.0,92.0,120.0,10.0,30.0,18.0
2018-07-31 06:52,25.0,56.0,42.0,108.0,0.0,86.0,111.0,9.0,33.0,12.0
2018-07-31 07:02,25.0,35.0,32.0,109.0,0.0,101.0,129.0,9.0,46.0,14.0
2018-07-31 07:12,30.0,35.0,31.0,45.0,0.0,85.0,118.0,9.0,40.0,17.0
2018-07-31 07:22,24.0,41.0,35.0,79.0,0.0,38.0,55.0,6.0,20.0,8.0
2018-07-31 07:32,31.0,31.0,35.0,102.0,0.0,89.0,124.0,17.0,41.0,18.0
2018-07-31 07:42,21.0,31.0,30.0,93.0,0.0,91.0,106.0,15.0,43.0,8.0
2018-07-31 07:52,34.0,40.0,30.0,103.0,0.0,92.0,118.0,11.0,49.0,12.0
2018-07-31 08:02,22.0,32.0,27.0,90.0,0.0,53.0,57.0,2.0,32.0,14.0
2018-07-31 08:12,23.0,28.0,16.0,71.0,0.0,92.0,110.0,4.0,57.0,18.0
2018-07-31 08:22,20.0,32.0,16.0,95.0,0.0,81.0,121.0,15.0,52.0,15.0
2018-07-31 08:32,30.0,24.0,30.0,95.0,0.0,80.0,113.0,7.0,48.0,11.0
2018-07-31 08:42,37.0,37.0,26.0,107.0,0.0,91.0,134.0,10.0,56.0,14.0
2018-07-31 08:52,31.0,32.0,21.0,83.0,0.0,92.0,113.0,6.0,60.0,15.0
2018-07-31 09:02,29.0,25.0,18.0,79.0,0.0,71.0,98.0,11.0,48.0,15.0
2018-07-31 09:12,32.0,35.0,35.0,55.0,0.0,72.0,131.0,15.0,47.0,18.0
2018-07-31 09:22,40.0,35.0,28.0,75.0,0.0,72.0,131.0,15.0,47.0,18.0
2018-07-31 09:32,26.0,26.0,24.0,74.0,0.0,42.0,58.0,5.0,26.0,9.0
2018-07-31 09:42,36.0,29.0,22.0,74.0,0.0,42.0,58.0,5.0,26.0,9.0
2018-07-31 09:52,28.0,32.0,30.0,82.0,0.0,75.0,103.0,12.0,63.0,17.0
2018-07-31 10:02,32.0,27.0,23.0,77.0,0.0,88.0,109.0,8.0,52.0,18.0
2018-07-31 10:12,35.0,32.0,8.0,61.0,0.0,64.0,114.0,11.0,55.0,11.0
2018-07-31 10:22,29.0,24.0,22.0,69.0,0.0,85.0,97.0,18.0,50.0,13.0
2018-07-31 10:32,37.0,26.0,22.0,62.0,0.0,73.0,100.0,12.0,70.0,17.0
2018-07-31 10:42,27.0,44.0,19.0,69.0,0.0,109.0,114.0,16.0,56.0,18.0
2018-07-31 10:52,29.0,38.0,27.0,66.0,0.0,91.0,121.0,8.0,44.0,21.0
2018-07-31 11:02,23.0,29.0,13.0,70.0,0.0,62.0,97.0,15.0,48.0,23.0
2018-07-31 11:12,40.0,41.0,32.0,70.0,0.0,78.0,95.0,7.0,17.0,10.0
2018-07-31 11:22,29.0,26.0,24.0,77.0,0.0,86.0,115.0,8.0,72.0,14.0
2018-07-31 11:32,32.0,22.0,24.0,88.0,0.0,89.0,108.0,19.0,72.0,14.0
2018-07-31 11:42,32.0,31.0,18.0,66.0,0.0,70.0,120.0,18.0,46.0,17.0
2018-07-31 11:52,37.0,30.0,22.0,75.0,0.0,90.0,84.0,18.0,58.0,34.0
2018-07-31 12:02,31.0,29.0,37.0,113.0,0.0,79.0,102.0,9.0,65.0,15.0
2018-07-31 12:12,30.0,35.0,20.0,91.0,0.0,89.0,86.0,13.0,56.0,32.0
2018-07-31 12:22,40.0,24.0,19.0,84.0,0.0,72.0,88.0,21.0,56.0,24.0
2018-07-31 12:32,32.0,34.0,22.0,83.0,0.0,80.0,122.0,17.0,79.0,19.0
2018-07-31 12:42,38.0,26.0,23.0,83.0,0.0,69.0,103.0,9.0,56.0,20.0
2018-07-31 12:52,39.0,33.0,30.0,31.0,0.0,60.0,100.0,29.0,76.0,27.0
2018-07-31 13:02,37.0,28.0,22.0,90.0,0.0,86.0,93.0,16.0,78.0,33.0
2018-07-31 13:12,38.0,26.0,17.0,83.0,0.0,76.0,102.0,15.0,83.0,16.0
2018-07-31 13:22,41.0,33.0,23.0,83.0,0.0,81.0,97.0,26.0,94.0,19.0
2018-07-31 13:32,45.0,42.0,32.0,93.0,0.0,64.0,91.0,22.0,96.0,38.0
2018-07-31 13:42,39.0,40.0,31.0,76.0,0.0,67.0,101.0,25.0,81.0,37.0
2018-07-31 13:52,49.0,35.0,24.0,101.0,0.0,57.0,103.0,16.0,85.0,21.0
2018-07-31 14:02,34.0,38.0,26.0,125.0,0.0,73.0,93.0,14.0,98.0,27.0
2018-07-31 14:12,34.0,35.0,31.0,121.0,0.0,75.0,112.0,22.0,98.0,35.0
2018-07-31 14:22,42.0,35.0,38.0,111.0,0.0,36.0,65.0,6.0,113.0,30.0
2018-07-31 14:32,56.0,67.0,31.0,126.0,0.0,82.0,105.0,22.0,41.0,12.0
2018-07-31 14:42,51.0,51.0,33.0,158.0,0.0,82.0,105.0,22.0,89.0,27.0
2018-07-31 14:52,48.0,51.0,41.0,119.0,0.0,74.0,106.0,24.0,101.0,37.0
2018-07-31 15:02,37.0,35.0,32.0,135.0,0.0,27.0,46.0,6.0,45.0,13.0
2018-07-31 15:11,45.0,35.0,34.0,112.0,0.0,27.0,46.0,6.0,45.0,13.0
2018-07-31 15:21,42.0,41.0,28.0,56.0,0.0,57.0,106.0,20.0,95.0,37.0
2018-07-31 15:31,51.0,41.0,19.0,109.0,0.0,66.0,99.0,22.0,110.0,40.0
2018-07-31 15:41,39.0,51.0,27.0,115.0,0.0,67.0,109.0,19.0,90.0,22.0
2018-07-31 15:51,46.0,48.0,26.0,99.0,0.0,68.0,111.0,30.0,91.0,31.0
2018-07-31 16:01,34.0,43.0,21.0,81.0,0.0,64.0,113.0,19.0,102.0,32.0
2018-07-31 16:11,43.0,33.0,39.0,87.0,0.0,84.0,116.0,12.0,98.0,22.0
2018-07-31 16:21,43.0,35.0,35.0,84.0,0.0,59.0,100.0,20.0,101.0,25.0
2018-07-31 16:31,50.0,40.0,16.0,85.0,0.0,80.0,128.0,16.0,109.0,43.0
2018-07-31 16:41,30.0,42.0,27.0,94.0,0.0,73.0,97.0,11.0,98.0,22.0
2018-07-31 16:51,31.0,29.0,25.0,95.0,0.0,59.0,95.0,19.0,89.0,32.0
2018-07-31 17:01,34.0,41.0,24.0,97.0,0.0,80.0,120.0,24.0,85.0,34.0
2018-07-31 17:11,33.0,31.0,14.0,73.0,0.0,61.0,95.0,13.0,87.0,24.0
2018-07-31 17:21,24.0,37.0,14.0,107.0,0.0,82.0,92.0,34.0,102.0,24.0
2018-07-31 17:31,31.0,23.0,17.0,69.0,0.0,27.0,45.0,5.0,31.0,16.0
2018-07-31 17:41,34.0,41.0,21.0,73.0,0.0,69.0,102.0,23.0,71.0,25.0
2018-07-31 17:51,37.0,29.0,39.0,95.0,0.0,75.0,95.0,8.0,68.0,22.0
2018-07-31 18:01,22.0,27.0,14.0,75.0,0.0,49.0,98.0,22.0,74.0,19.0
2018-07-31 18:11,29.0,24.0,29.0,83.0,0.0,64.0,93.0,12.0,64.0,31.0
2018-07-31 18:21,23.0,19.0,24.0,89.0,0.0,26.0,41.0,9.0,28.0,11.0
2018-07-31 18:31,29.0,25.0,24.0,52.0,0.0,57.0,81.0,11.0,61.0,23.0
2018-07-31 18:41,29.0,19.0,17.0,64.0,0.0,50.0,92.0,14.0,59.0,12.0
2018-07-31 18:51,34.0,22.0,16.0,46.0,0.0,51.0,65.0,13.0,64.0,19.0
2018-07-31 19:01,23.0,16.0,18.0,66.0,0.0,51.0,65.0,13.0,64.0,19.0
2018-07-31 19:11,21.0,13.0,11.0,68.0,0.0,41.0,87.0,17.0,52.0,12.0
2018-07-31 19:21,34.0,25.0,15.0,41.0,0.0,37.0,90.0,5.0,25.0,6.0
2018-07-31 19:31,16.0,22.0,12.0,62.0,0.0,37.0,78.0,9.0,54.0,21.0
2018-07-31 19:41,21.0,6.0,18.0,62.0,0.0,47.0,80.0,10.0,32.0,10.0
2018-07-31 19:51,19.0,7.0,8.0,53.0,0.0,21.0,28.0,10.0,32.0,10.0
2018-07-31 20:01,15.0,15.0,7.0,44.0,0.0,34.0,61.0,6.0,32.0,14.0
2018-07-31 20:11,14.0,5.0,9.0,53.0,0.0,18.0,46.0,5.0,34.0,8.0
2018-07-31 20:21,18.0,6.0,11.0,41.0,0.0,32.0,66.0,5.0,31.0,11.0
2018-07-31 20:31,12.0,4.0,11.0,56.0,0.0,30.0,53.0,13.0,35.0,11.0
2018-07-31 20:41,18.0,18.0,8.0,13.0,0.0,20.0,37.0,2.0,36.0,10.0
2018-07-31 20:51,18.0,6.0,10.0,20.0,0.0,31.0,38.0,7.0,21.0,3.0
