cars,bikes,temp,precip,date
25602.0,15317.0,20.0,0.0,2018-09-01
44190.0,21614.0,18.0,0.0,2018-08-30
,18674.0,22.0,7.0,2018-08-24
,15291.0,22.0,0.0,2018-08-19
,12377.0,21.0,0.0,2018-08-18
,18277.0,20.0,0.0,2018-08-17
,18653.0,20.0,0.0,2018-08-16
,19389.0,21.0,0.0,2018-08-15
,16070.0,20.0,0.8,2018-08-14
,19432.0,21.0,0.0,2018-08-13
,19389.0,18.0,0.0,2018-08-12
,5671.0,18.0,0.0,2018-08-11
,13788.0,24.0,2.0,2018-08-10
,20596.0,25.0,0.0,2018-08-09
,21345.0,22.0,0.0,2018-08-08
,22673.0,20.0,0.0,2018-08-07
,20452.0,20.0,0.0,2018-08-06
,11986.0,24.0,6.0,2018-08-05
,13176.0,24.0,0.0,2018-08-04
,18475.0,23.0,0.0,2018-08-03
,20190.0,24.0,0.0,2018-08-02
43519.0,18637.0,24.0,5.0,2018-08-01
46801.0,19162.0,22.0,0.5,2018-07-31
45741.0,16148.0,22.0,3.0,2018-07-30
32628.0,9703.0,23.0,36.0,2018-07-29
36486.0,13692.0,23.0,0.0,2018-07-28
49105.5,18824.0,22.0,0.0,2018-07-27
47156.0,18089.0,20.0,0.0,2018-07-26
45919.0,21588.0,21.0,0.0,2018-07-25
46485.0,24432.0,20.0,0.0,2018-07-24
44296.0,21279.0,21.0,0.0,2018-07-23
31518.0,19248.0,20.0,0.0,2018-07-22
38155.0,17072.0,20.0,0.0,2018-07-21
48223.0,13983.0,22.0,0.0,2018-07-20
47416.0,7774.0,19.0,0.0,2018-07-19
48156.0,5672.0,20.0,20.0,2018-07-18
,5131.0,18.0,19.0,2018-07-17
46872.0,13896.0,21.0,5.0,2018-07-16
29039.0,11958.0,20.0,0.0,2018-07-15
38618.5,6200.0,20.0,5.0,2018-07-14
48893.0,12335.0,18.0,7.0,2018-07-13
47869.0,18899.0,18.0,2.0,2018-07-12
47436.0,11919.0,20.0,2.0,2018-07-11
47030.0,18084.0,20.0,0.3,2018-07-10
46592.0,17121.0,21.0,0.0,2018-07-09
