intensity,date
35838.0,2018-09-02
25602.0,2018-09-01
49451.0,2018-08-31
44190.0,2018-08-30
25971.0,2018-08-29
43519.0,2018-08-01
46801.0,2018-07-31
45741.0,2018-07-30
32628.0,2018-07-29
36486.0,2018-07-28
49105.5,2018-07-27
47156.0,2018-07-26
45919.0,2018-07-25
46485.0,2018-07-24
44296.0,2018-07-23
31518.0,2018-07-22
38155.0,2018-07-21
48223.0,2018-07-20
47416.0,2018-07-19
48156.0,2018-07-18
,2018-07-17
46872.0,2018-07-16
29039.0,2018-07-15
38618.5,2018-07-14
48893.0,2018-07-13
47869.0,2018-07-12
47436.0,2018-07-11
47030.0,2018-07-10
46592.0,2018-07-09
31039.0,2018-07-08
37883.0,2018-07-07
48289.0,2018-07-06
48823.0,2018-07-05
45873.0,2018-07-04
47997.0,2018-07-03
46027.0,2018-07-02
35870.0,2018-07-01
40118.0,2018-06-30
51407.0,2018-06-29
48357.0,2018-06-28
48724.0,2018-06-27
48899.0,2018-06-26
46785.0,2018-06-25
35040.0,2018-06-24
41608.0,2018-06-23
49716.0,2018-06-22
47174.0,2018-06-21
46413.0,2018-06-20
44820.0,2018-06-19
47161.0,2018-06-18
32404.0,2018-06-17
40966.0,2018-06-16
50199.0,2018-06-15
49219.0,2018-06-14
48807.0,2018-06-13
48924.0,2018-06-12
50015.0,2018-06-11
34733.0,2018-06-10
44686.0,2018-06-09
50994.5,2018-06-08
49080.0,2018-06-07
46258.5,2018-06-06
48673.0,2018-06-05
48358.0,2018-06-04
37582.0,2018-06-03
38206.0,2018-06-02
46076.0,2018-06-01
26004.0,2018-05-31
54099.0,2018-05-30
50702.5,2018-05-29
49281.0,2018-05-28
38776.0,2018-05-27
46160.0,2018-05-26
51506.0,2018-05-25
50543.0,2018-05-24
51152.0,2018-05-23
48549.0,2018-05-22
49242.5,2018-05-21
35021.0,2018-05-20
45223.0,2018-05-19
50009.0,2018-05-18
50943.0,2018-05-17
50286.0,2018-05-16
51328.0,2018-05-15
50275.0,2018-05-14
35220.0,2018-05-13
45117.0,2018-05-12
53313.0,2018-05-11
50671.0,2018-05-10
49232.0,2018-05-09
50179.0,2018-05-08
49592.0,2018-05-07
21766.0,2018-05-06
35601.0,2018-05-05
43696.0,2018-05-04
26591.0,2018-05-03
43072.0,2018-05-02
27232.0,2018-05-01
47714.0,2018-04-30
35766.0,2018-04-29
43111.0,2018-04-28
55307.0,2018-04-27
52907.0,2018-04-26
50595.0,2018-04-25
48399.0,2018-04-24
49556.0,2018-04-23
35909.0,2018-04-22
45269.0,2018-04-21
52973.5,2018-04-20
51473.0,2018-04-19
50502.0,2018-04-18
50471.0,2018-04-17
49646.5,2018-04-16
34569.0,2018-04-15
45261.0,2018-04-14
53238.0,2018-04-13
52334.0,2018-04-12
49812.0,2018-04-11
49759.0,2018-04-10
50038.5,2018-04-09
35639.0,2018-04-08
46490.0,2018-04-07
54487.0,2018-04-06
50859.5,2018-04-05
50150.5,2018-04-04
49733.0,2018-04-03
29377.5,2018-04-02
23731.0,2018-04-01
28733.0,2018-03-31
46044.0,2018-03-30
51961.5,2018-03-29
51807.0,2018-03-28
50971.0,2018-03-27
50664.0,2018-03-26
38450.0,2018-03-25
44171.5,2018-03-24
52118.0,2018-03-23
22885.0,2018-03-22
85288.0,2018-09-18
78940.0,2018-09-19
