date,temp,precip
2018-05-31,22,0.0
2018-06-01,22.0,0.0
2018-06-02,20.0,3.0
2018-06-03,20.0,0.0
2018-06-04,20.0,0.0
2018-06-05,20.0,0.0
2018-06-06,17.0,0.0
2018-06-07,16.0,0.0
2018-06-08,20.0,0.0
2018-06-09,24.0,0.0
2018-06-10,22.0,11.0
2018-06-11,21.0,0.0
2018-06-12,18.0,1.0
2018-06-13,15.0,0.1
2018-06-14,18.0,0.0
2018-06-15,18.0,0.0
2018-06-16,20.0,0.0
2018-06-17,20.0,0.0
2018-06-18,21.0,0.1
2018-06-19,21.0,0.0
2018-06-20,20.0,0.0
2018-06-21,23.0,0.7
2018-06-22,14.0,0.0
2018-06-23,12.0,6.0
2018-06-24,14.0,1.0
2018-06-25,15.0,0.0
2018-06-26,15.0,0.0
2018-06-27,14.0,5.0
2018-06-28,17.0,4.0
2018-06-30,,0.0
2018-07-01,12.0,2.0
2018-07-02,14.0,0.0
2018-07-03,16.0,0.0
2018-07-04,18.0,0.0
2018-07-05,20.0,0.0
2018-07-06,20.0,3.0
2018-07-07,20.0,0.0
2018-07-08,19.0,0.0
2018-07-09,21.0,0.0
2018-07-10,20.0,0.3
2018-07-11,20.0,2.0
2018-07-12,18.0,2.0
2018-07-13,18.0,7.0
2018-07-14,20.0,5.0
2018-07-15,20.0,0.0
2018-07-16,21.0,5.0
2018-07-17,18.0,19.0
2018-07-18,20.0,20.0
2018-07-19,19.0,0.0
2018-07-20,22.0,0.0
2018-07-21,20.0,0.0
2018-07-22,20.0,0.0
2018-07-23,21.0,0.0
2018-07-24,20.0,0.0
2018-07-25,21.0,0.0
2018-07-26,20.0,0.0
2018-07-27,22.0,0.0
2018-07-28,23.0,0.0
2018-07-29,23.0,36.0
2018-07-30,22.0,3.0
2018-07-31,22.0,0.5
2018-08-01,24.0,5.0
2018-08-02,24.0,0.0
2018-08-03,23.0,0.0
2018-08-04,24.0,0.0
2018-08-05,24.0,6.0
2018-08-06,20.0,0.0
2018-08-07,20.0,0.0
2018-08-08,22.0,0.0
2018-08-09,25.0,0.0
2018-08-10,24.0,2.0
2018-08-11,18.0,0.0
2018-08-12,18.0,0.0
2018-08-13,21.0,0.0
2018-08-14,20.0,0.8
2018-08-15,21.0,0.0
2018-08-16,20.0,0.0
2018-08-17,20.0,0.0
2018-08-18,21.0,0.0
2018-08-19,22.0,0.0
